name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,Dövüşçü Kimliği
Amanda Ribas,12,5,160.02,56.7,167.64,1.0,30.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7,110
Rose Namajunas,13,6,165.1,56.7,165.1,1.0,31.0,3.69,0.41,3.51,0.63,1.38,0.47,0.59,0.5,2033
Karl Williams,10,1,190.5,106.6,200.66,1.0,34.0,2.87,0.52,1.7,0.6,4.75,0.5,1.0,0.2,1327
Justin Tafa,7,4,182.88,119.8,187.96,2.0,30.0,4.09,0.54,5.02,0.47,0.0,0.0,0.5,0.0,1307
Edmen Shahbazyan,13,4,187.96,83.9,190.5,1.0,26.0,3.6,0.52,4.09,0.45,2.24,0.38,0.63,0.6,706
AJ Dobson,7,3,185.42,83.9,193.04,1.0,32.0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,1
Payton Talbott,8,0,177.8,61.2,177.8,3.0,25.0,8.05,0.54,3.58,0.51,0.0,0.0,0.9,0.5,1858
Cameron Saaiman,9,2,172.72,61.2,170.18,2.0,23.0,5.32,0.46,4.18,0.51,0.91,0.28,0.47,0.7,339
Billy Quarantillo,18,6,177.8,65.8,177.8,1.0,35.0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1,244
Youssef Zalal,14,5,177.8,65.8,182.88,3.0,27.0,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3,2442
Fernando Padilla,16,5,185.42,65.8,193.04,1.0,27.0,6.48,0.42,5.25,0.53,0.0,0.0,1.0,0.8,778
Luis Pajuelo,8,2,177.8,65.8,175.26,1.0,29.0,6.03,0.57,8.2,0.52,0.0,0.0,0.66,0.0,1480
Kurt Holobaugh,21,8,180.34,70.3,177.8,1.0,37.0,4.37,0.43,4.07,0.48,0.71,0.36,0.46,0.9,1404
Trey Ogden,17,6,180.34,70.3,182.88,1.0,34.0,3.38,0.47,3.59,0.58,1.64,0.23,1.0,0.6,2328
Ricardo Ramos,16,6,175.26,65.8,182.88,1.0,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7,1947
Julian Erosa,29,12,185.42,65.8,187.96,2.0,34.0,6.14,0.48,6.29,0.47,1.63,0.46,0.58,0.8,1274
Miles Johns,14,2,170.18,61.2,167.64,1.0,29.0,3.28,0.47,2.55,0.68,1.15,0.22,0.85,0.0,1705
Cody Gibson,20,10,177.8,61.2,180.34,1.0,36.0,4.0,0.43,4.08,0.57,1.28,0.28,0.68,0.2,467
Jarno Errens,14,5,180.34,65.8,185.42,1.0,29.0,3.44,0.46,3.36,0.63,0.0,0.0,0.28,0.3,1030
Steven Nguyen,9,2,180.34,65.8,185.42,3.0,30.0,7.15,0.4,7.36,0.6,0.28,1.0,0.84,0.0,2201
Montserrat Rendon,6,1,172.72,61.2,172.72,1.0,35.0,3.13,0.28,3.9,0.54,3.0,0.54,1.0,0.0,1725
Daria Zhelezniakova,9,1,175.26,61.2,172.72,3.0,28.0,3.8,0.38,1.67,0.82,0.0,0.0,0.5,0.0,569
Igor Severino,8,1,170.18,56.7,175.26,1.0,20.0,7.17,0.52,4.33,0.47,9.69,0.71,0.5,0.0,932
Andre Lima,8,0,170.18,56.7,170.18,1.0,25.0,3.98,0.6,2.67,0.6,1.31,0.66,0.61,1.3,122
Mohammed Usman,11,3,187.96,108.4,200.66,1.0,34.0,3.18,0.37,4.21,0.52,0.89,0.18,0.0,0.0,1720
Mick Parkin,9,0,193.04,120.2,200.66,1.0,28.0,4.54,0.51,3.94,0.59,1.6,0.41,0.5,0.3,1667
Tai Tuivasa,15,7,187.96,119.8,190.5,2.0,31.0,3.96,0.49,5.05,0.43,0.0,0.0,0.57,0.0,2223
Marcin Tybura,25,8,190.5,112.9,198.12,1.0,38.0,3.6,0.48,3.35,0.55,1.43,0.33,0.79,0.1,1537
Ovince Saint Preux,27,17,190.5,93.0,203.2,2.0,40.0,3.03,0.47,3.32,0.47,1.1,0.36,0.67,0.5,1819
Kennedy Nzechukwu,12,5,195.58,93.0,210.82,2.0,31.0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2,1358
Christian Rodriguez,11,1,170.18,65.8,180.34,1.0,26.0,3.45,0.48,2.28,0.57,1.14,0.54,0.66,1.1,442
Isaac Dulgarian,6,1,170.18,65.8,180.34,1.0,27.0,2.88,0.58,2.53,0.39,6.06,0.47,0.0,1.5,947
Pannie Kianzad,17,8,170.18,61.2,167.64,1.0,32.0,4.74,0.49,3.67,0.53,0.46,0.33,0.66,0.1,1824
Macy Chiasson,10,3,180.34,61.2,182.88,1.0,32.0,3.53,0.44,2.53,0.46,2.38,0.37,0.62,0.5,1501
Gerald Meerschaert,36,17,185.42,83.9,195.58,2.0,36.0,3.18,0.45,3.37,0.53,2.17,0.38,0.34,1.6,839
Bryan Barberena,18,12,182.88,83.9,182.88,2.0,34.0,5.35,0.48,4.59,0.44,0.13,0.22,0.5,0.3,317
Natan Levy,8,2,175.26,70.3,180.34,2.0,32.0,3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5,1749
Mike Davis,11,2,182.88,70.3,182.88,1.0,31.0,5.35,0.52,5.76,0.55,2.77,0.53,0.64,0.4,1676
Josiane Nunes,10,2,157.48,61.2,170.18,2.0,30.0,5.99,0.44,5.25,0.53,0.0,0.0,0.58,0.0,1266
Chelsea Chandler,6,2,172.72,61.2,172.72,2.0,33.0,3.45,0.45,3.09,0.49,1.31,0.6,0.33,0.0,399
Jafel Filho,16,3,170.18,56.7,172.72,1.0,30.0,2.36,0.41,2.0,0.47,1.77,0.33,0.55,2.6,980
Ode Osbourne,12,7,170.18,56.7,185.42,2.0,32.0,3.46,0.38,4.44,0.44,1.27,0.27,0.64,0.2,1806
Josh Culibao,11,3,177.8,65.8,185.42,1.0,29.0,3.2,0.42,3.24,0.56,0.0,0.0,0.67,0.3,1244
